diet_group,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid
fish,5.13336592250825,6.853120033505,18565.613638696166,21.730615449694167,0.8598366020955,0.33666202831058334,257.3540328079867,798.5551919624166,24.101780635936667
meat,7.553983431040334,13.08666533311675,19284.331898014167,30.31777390905,1.5062462842422502,0.5351344244916667,318.94416524623335,863.8709198457499,33.99923568837083
meat100,11.425865132272666,24.01006138216075,22497.223846438334,42.258796097723334,2.4395302095971667,0.8344280216725,422.0008036970417,974.2229368760001,46.77973811744667
meat50,5.797222292718167,8.662608872683833,17817.131705268,24.081761029204998,1.0917816940921665,0.39553423505216667,272.63415554523334,782.2991343726001,27.172879150161666
vegan,2.6125608947445,4.510695068193083,15312.488198343748,11.461198525182418,0.15132054283283333,0.21832427318016667,124.36781596794583,450.01944094374164,11.598582245710332
veggie,4.51841128087475,6.54200675720575,16470.226046471333,17.866328349470002,0.778792463848,0.3036122657545,252.8619650818608,569.3083373948416,21.664145857744167
